,0
0,NEUTRAL
1,NEUTRAL
2,NEUTRAL
3,NEUTRAL
4,NEUTRAL
5,NEUTRAL
6,NEUTRAL
7,NEUTRAL
8,NEUTRAL
9,NEUTRAL
10,NEUTRAL
11,MIXED
12,NEGATIVE
13,NEUTRAL
14,NEUTRAL
15,NEUTRAL
16,NEUTRAL
17,NEUTRAL
18,NEUTRAL
19,NEUTRAL
20,NEUTRAL
21,NEUTRAL
22,NEUTRAL
23,NEUTRAL
24,NEUTRAL
25,NEUTRAL
26,NEUTRAL
27,NEUTRAL
28,NEUTRAL
29,NEUTRAL
30,NEUTRAL
31,NEUTRAL
32,NEUTRAL
33,NEUTRAL
34,NEUTRAL
35,NEUTRAL
36,NEUTRAL
37,NEUTRAL
38,NEUTRAL
39,NEUTRAL
40,NEUTRAL
41,NEUTRAL
42,NEUTRAL
43,NEUTRAL
44,NEUTRAL
45,NEUTRAL
46,NEUTRAL
47,NEUTRAL
48,NEUTRAL
49,NEUTRAL
50,NEGATIVE
51,NEUTRAL
52,NEUTRAL
53,NEUTRAL
54,NEUTRAL
55,NEUTRAL
56,NEUTRAL
57,NEUTRAL
58,NEUTRAL
59,NEUTRAL
60,NEUTRAL
61,NEUTRAL
62,NEUTRAL
63,NEUTRAL
64,NEUTRAL
65,NEUTRAL
66,NEUTRAL
67,NEUTRAL
68,NEUTRAL
69,NEGATIVE
70,NEUTRAL
71,NEUTRAL
72,NEUTRAL
73,NEUTRAL
74,NEUTRAL
75,NEUTRAL
76,NEUTRAL
77,NEUTRAL
78,NEUTRAL
79,NEUTRAL
80,NEUTRAL
81,NEUTRAL
82,NEUTRAL
83,NEUTRAL
84,NEUTRAL
85,NEUTRAL
86,NEGATIVE
87,NEUTRAL
88,NEUTRAL
89,MIXED
90,NEUTRAL
91,NEUTRAL
92,NEUTRAL
93,NEUTRAL
94,NEUTRAL
95,NEUTRAL
96,NEGATIVE
97,NEUTRAL
98,NEGATIVE
99,NEGATIVE
100,NEUTRAL
101,NEUTRAL
102,MIXED
103,NEUTRAL
104,NEUTRAL
105,NEUTRAL
106,NEUTRAL
107,NEUTRAL
108,MIXED
109,NEUTRAL
110,NEUTRAL
111,NEUTRAL
112,NEGATIVE
113,NEUTRAL
114,NEUTRAL
115,NEUTRAL
116,NEUTRAL
117,NEUTRAL
118,NEUTRAL
119,NEUTRAL
120,NEUTRAL
121,NEUTRAL
122,NEUTRAL
123,NEUTRAL
124,NEUTRAL
125,NEUTRAL
126,NEUTRAL
127,NEUTRAL
128,NEUTRAL
129,NEUTRAL
130,NEUTRAL
131,NEUTRAL
132,NEUTRAL
133,NEUTRAL
134,NEUTRAL
135,NEUTRAL
136,NEUTRAL
137,NEUTRAL
138,NEUTRAL
139,NEUTRAL
140,NEUTRAL
141,NEUTRAL
142,NEUTRAL
143,NEUTRAL
144,NEUTRAL
145,NEUTRAL
146,NEUTRAL
147,NEUTRAL
148,NEUTRAL
149,NEUTRAL
150,NEUTRAL
151,NEUTRAL
152,NEUTRAL
153,NEUTRAL
154,NEUTRAL
155,NEUTRAL
156,NEUTRAL
157,NEUTRAL
158,NEUTRAL
159,NEUTRAL
160,NEUTRAL
161,MIXED
162,NEUTRAL
163,NEUTRAL
164,NEUTRAL
165,NEUTRAL
166,NEUTRAL
167,NEUTRAL
168,NEUTRAL
169,NEUTRAL
170,NEUTRAL
171,NEUTRAL
172,NEUTRAL
173,NEUTRAL
174,NEUTRAL
175,NEUTRAL
176,NEUTRAL
177,NEUTRAL
178,NEUTRAL
179,NEUTRAL
180,NEUTRAL
181,NEUTRAL
182,NEUTRAL
183,NEUTRAL
184,NEUTRAL
185,NEGATIVE
186,NEUTRAL
187,NEUTRAL
188,NEUTRAL
189,NEUTRAL
190,NEUTRAL
191,NEUTRAL
192,NEUTRAL
193,NEUTRAL
194,NEGATIVE
195,NEUTRAL
196,NEUTRAL
197,NEUTRAL
198,NEUTRAL
199,NEGATIVE
200,NEUTRAL
201,NEUTRAL
202,NEUTRAL
203,NEUTRAL
204,NEUTRAL
205,NEGATIVE
206,NEUTRAL
207,NEUTRAL
208,NEUTRAL
209,NEUTRAL
210,NEUTRAL
211,NEUTRAL
212,NEUTRAL
213,NEGATIVE
214,NEUTRAL
215,NEGATIVE
216,NEUTRAL
217,NEUTRAL
218,NEGATIVE
219,NEUTRAL
220,NEUTRAL
221,NEGATIVE
222,NEUTRAL
223,NEUTRAL
224,NEUTRAL
225,NEUTRAL
226,NEUTRAL
227,NEUTRAL
228,NEUTRAL
229,NEUTRAL
230,NEUTRAL
231,NEUTRAL
232,NEUTRAL
233,NEUTRAL
234,NEUTRAL
235,NEUTRAL
236,NEUTRAL
237,NEUTRAL
238,MIXED
239,NEUTRAL
240,MIXED
241,NEGATIVE
242,NEUTRAL
243,NEUTRAL
244,NEUTRAL
245,NEUTRAL
246,NEGATIVE
247,NEUTRAL
248,NEUTRAL
249,NEUTRAL
250,NEUTRAL
251,NEUTRAL
252,NEUTRAL
253,NEUTRAL
254,MIXED
255,NEUTRAL
256,NEUTRAL
257,NEUTRAL
258,NEUTRAL
259,NEUTRAL
260,NEUTRAL
261,NEUTRAL
262,NEUTRAL
263,NEUTRAL
264,NEUTRAL
265,NEUTRAL
266,NEUTRAL
267,NEUTRAL
268,NEUTRAL
269,NEUTRAL
270,NEUTRAL
271,NEUTRAL
272,NEUTRAL
273,NEUTRAL
274,NEUTRAL
275,NEUTRAL
276,NEUTRAL
277,NEGATIVE
278,NEUTRAL
279,NEUTRAL
280,NEUTRAL
281,NEUTRAL
282,NEUTRAL
283,MIXED
284,NEUTRAL
285,NEUTRAL
286,NEUTRAL
287,NEUTRAL
288,NEUTRAL
289,NEUTRAL
290,NEUTRAL
291,NEUTRAL
292,NEUTRAL
293,NEUTRAL
294,NEUTRAL
295,NEUTRAL
296,MIXED
297,NEUTRAL
298,NEUTRAL
299,NEUTRAL
300,NEUTRAL
301,NEUTRAL
302,MIXED
